This file contains information which can
be used to verify that files on the
distribution disk are free from error.
The VERIFY program will compute the sum
of the bytes and the number of sectors
for a file.  To run VERIFY just enter
"EXEC VERIFY".  It will ask for the name
of the file to be checked.  It will then
print out the sum and sector count for
the file.

filename          sectors       sum
ARCTAN.INT           6       1094715
ARCTAN.PAS          10      11507057
CONVERTM.INT        26      13404464
COS.INT              6       1274917
COS.PAS              9      10210105
CUSTOMIZ.INT        10       8266599
DEBUG.INT            3       1513172
ERASE.INT            6       1883361
EXEC.COM           180      56320308
EXP.INT              9       1414009
EXP.PAS             16      16721381
JGRAF.INT           40      12724059
JGRAF.PAS           57      70104440
JRTASM.INT         117      38294571
JRTPAS2.COM        162      60216027
JSTAT.INT            8       1409426
JSTAT.PAS           18      20914830
LETTERS.INT         10       2127660
LINKER.INT          28       7835722
LN.INT               7       1307614
LN.PAS              11      10952884
PASCAL.LIB          94      91157364
PASCAL0.INT        167      43173380
PASCAL1.INT         50      19833695
PASCAL2.INT         37       9636345
PASCAL3.INT         69      18329385
PASCAL4.INT          5       1321431
RENAME.INT           7       2441300
RESETBIT.ASM         5       5944774
SETBIT.ASM           5       6016140
SIN.INT              5        406949
SIN.PAS              8       9287473
SQRT.INT             4        842894
SQRT.PAS             5       5310766
TESTBIT.ASM          6       6850814
VERIFY.INT           8        621810

